2.75 0.20 3.27 -1.80 19.49 -11.53 7.57 24.49 1084.65 8.00 5.00 5.00
2.50 -0.03 3.45 -1.53 21.50 -7.53 7.87 19.90 987.68 7.00 4.00 5.00
2.74 0.07 3.78 -1.21 21.26 -9.70 10.26 24.84 1181.15 5.00 4.00 4.00
3.62 0.55 2.15 -1.10 19.77 -10.77 16.35 10.03 903.57 4.00 3.00 4.00
2.51 -0.31 1.19 -0.74 18.81 -8.73 12.70 3.17 880.99 3.00 5.00 3.00
2.93 -0.22 1.28 -0.52 17.47 -9.93 13.39 3.68 668.57 5.00 4.00 3.00
2.04 -0.04 2.24 -0.89 15.42 -10.73 5.97 8.15 545.00 6.00 5.00 3.00
2.19 0.08 2.82 -0.54 14.37 -8.73 7.13 15.19 598.21 4.00 3.00 3.00
1.74 0.33 2.20 -0.98 11.70 -9.53 4.97 7.82 329.70 4.00 3.00 3.00
1.57 -0.06 2.39 -0.74 13.90 -9.03 5.42 14.44 462.59 3.00 3.00 3.00
0.95 -0.39 4.00 -1.49 14.91 -10.34 2.86 25.86 442.86 4.00 3.00 3.00
2.05 -0.30 4.46 -1.22 13.79 -8.70 6.64 42.85 512.60 6.00 3.00 3.00
1.26 -0.38 3.61 -1.08 13.78 -8.86 2.50 24.44 368.48 5.00 3.00 3.00
1.86 -0.70 3.76 -1.07 14.67 -8.71 5.23 27.24 513.37 4.00 3.00 3.00
2.59 0.20 4.09 -1.86 17.02 -11.17 12.41 35.71 658.52 5.00 3.00 3.00
1.33 0.23 3.45 -1.35 15.46 -9.07 4.90 18.43 465.64 6.00 3.00 3.00
2.12 0.17 3.64 -2.22 14.83 -10.68 8.44 36.28 582.40 6.00 4.00 4.00
1.49 0.39 4.55 -1.15 15.61 -7.98 4.27 41.13 573.24 3.00 3.00 3.00
1.77 0.45 3.62 -1.05 14.60 -9.11 3.38 22.13 403.67 5.00 3.00 3.00
1.73 0.32 3.38 -0.73 14.27 -8.81 4.11 26.99 456.15 6.00 2.00 3.00
0.90 0.36 2.47 -0.98 12.58 -11.51 2.18 11.28 372.60 6.00 6.00 4.00
1.88 0.13 3.91 -1.10 15.57 -8.30 5.95 36.47 552.32 6.00 2.00 3.00
0.93 0.02 2.72 -0.79 14.59 -9.30 1.39 11.79 380.33 5.00 4.00 3.00
1.53 0.12 2.98 -0.74 14.23 -8.05 3.47 15.08 437.28 7.00 3.00 3.00
